name,id,code
Axis India Manufacturing Fund - Direct - Growth,flexi_4,152202
HDFC Mid Cap Fund - Growth - Direct,mid_2,118989
JM Aggressive Hybrid Fund (Direct) - Growth,hybrid_5,120484
Kotak Focused Fund- Direct - Growth,flexi_4,147473
Mahindra Manulife Small Cap Fund - Direct - Growth,small_1,150915
Motilal Oswal Midcap Fund-Direct -Growth,mid_2,127042
Nippon India Flexi Cap Fund - Direct - Growth - Growth,flexi_4,149094
SBI MIDCAP FUND - DIRECT - GROWTH,mid_2,119716
Sundaram Large and Midcap Fund Direct - Growth,flexi_4,119566
Union Multicap Fund - Direct - Growth,flexi_4,150858
