name,id,code,nav,returns_%,beta,sharpe,alpha,info,up_capture,down_capture
HDFC Balanced Advantage Fund - Direct Plan - Growth Option,hybrid_5,118968,563.697,16.65,0.63,1.2,0.03,0.89,86.63,55.18
HDFC Flexi Cap Fund - Direct Plan - Growth Option,flexi_4,118955,2191.726,19.53,0.87,1.16,0.04,1.86,104.84,72.46
HDFC Hybrid Debt Fund - Direct Plan - Growth Option,hybrid_5,119118,88.7437,10.16,0.24,0.96,0.01,-0.21,30.88,20.58
HDFC Index FundNIFTY 50 Plan - Direct Plan,large_3,119063,236.7297,10.81,1.0,0.48,0.0,3.46,99.91,100.12
HDFC NIFTY Next50 Index Fund Direct Growth,large_3,149288,16.5884,,1.08,0.38,0.02,0.51,168.41,123.0
ICICI Prudential Balanced Advantage Fund - Direct Plan - Growth,hybrid_5,120377,86.35,12.08,0.41,1.05,0.02,0.07,45.69,30.95
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,flexi_4,120722,107.4,19.17,0.91,1.05,0.04,1.73,121.4,88.57
ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,hedge_6,120334,898.8148,20.07,0.54,1.59,0.04,1.04,79.66,28.5
ICICI Prudential Nifty50 Value20 Index Fund - Direct Plan-Growth,large_3,152365,10.7477,,0.92,-0.19,-0.01,-0.36,80.29,96.8
ICICI Prudential Smallcap Fund - Direct Plan - Growth,small_1,120591,95.69,19.52,0.77,0.97,0.04,0.82,64.92,73.04
ICICI Prudential US Bluechip Equity Fund - Direct Plan - Growth,hedge_6,120186,82.32,15.11,0.14,0.39,0.03,0.06,50.88,35.91
Motilal Oswal Midcap Fund-Direct Plan-Growth,mid_2,127042,106.8944,23.88,0.89,1.12,0.05,1.12,99.51,82.49
NIPPON INDIA - US EQUITY OPPORTUNITIES FUND - DIRECT GROWTH PLAN,hedge_6,134923,42.8996,13.75,0.19,0.31,0.02,-0.0,49.2,41.89
NIPPON INDIA BALANCED ADVANTAGE FUND - DIRECT PLAN GROWTH PLAN - GROWTH OPTION,hybrid_5,118736,205.2599,11.64,0.5,0.83,0.01,0.04,53.95,49.73
NIPPON INDIA RETIREMENT FUND - WEALTH CREATION SCHEME - GROWTH PLAN,flexi_4,133565,28.4924,13.84,0.99,0.66,0.02,0.78,100.87,98.27
Parag Parikh Flexi Cap Fund - Direct Plan,flexi_4,122639,91.9852,18.23,0.69,0.96,0.03,0.69,82.21,64.63
SBI Blue Chip Fund - Direct Plan - Growth,large_3,119598,103.5104,12.86,0.91,0.62,0.01,0.7,100.4,93.14
SBI Focused Equity Fund Direct Growth,flexi_4,119727,426.2584,15.68,0.74,0.84,0.02,0.59,85.11,77.94
UTI Nifty Midcap 150 Quality 50 Index Fund - Direct - Growth,mid_2,150313,13.928,,0.86,0.22,0.0,0.06,65.42,102.3
