name,id,code
HDFC Balanced Advantage Fund - Direct Plan - Growth Option,hybrid_1,0P0001EI12.BO
HDFC Flexi Cap Fund - Direct Plan - Growth Option,flexi_1,0P0000XW77.BO
HDFC Hybrid Debt Fund - Direct Plan - Growth Option,hybrid_1,0P0000XW8G.BO
HDFC Index FundNIFTY 50 Plan - Direct Plan,large_1,0P0000XW7T.BO
HDFC NIFTY Next50 Index Fund Direct Growth,large_1,0P0001NK4B.BO
ICICI Prudential Balanced Advantage Fund - Direct Plan - Growth,hybrid_1,0P0000XWAK.BO
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,flexi_1,0P0000XX0F.BO
ICICI Prudential Smallcap Fund - Direct Plan - Growth,small_1,0P0000XUY2.BO
ICICI Prudential US Bluechip Equity Fund - Direct Plan - Growth,large_1,0P0000XUZC.BO
NIPPON INDIA - US EQUITY OPPORTUNITIES FUND - DIRECT GROWTH PLAN,large_1,0P00016GW1.BO
NIPPON INDIA BALANCED ADVANTAGE FUND - DIRECT PLAN GROWTH PLAN - GROWTH OPTION,hybrid_1,0P0000XVFJ.BO
NIPPON INDIA RETIREMENT FUND - WEALTH CREATION SCHEME - GROWTH PLAN,flexi_1,0P00015DXK.BO
Parag Parikh Flexi Cap Fund - Direct Plan,flexi_1,0P0000YWL1.BO
SBI Blue Chip Fund - Direct Plan - Growth,large_1,0P0000XVJQ.BO
SBI Focused Equity Fund Direct Growth,flexi_1,0P0000XVJT.BO
Aditya Birla Sun Life Balanced Advantage Fund - Growth Direct,hybrid_1,0P0000XV24.BO
Aditya Birla Sun Life India GenNext Fund - GrowthDirect Plan,mid_1,0P0000XVWN.BO
Axis India Manufacturing Fund Regular Growth,flexi_1,0P0001S08R.BO
JM Aggressive Hybrid Fund - (Regular) - Growth Option,hybrid_1,0P0001551G.BO
JM Midcap Fund (Regular) - Growth Option,mid_1,0P0001PXWC.BO
JM Midcap Fund (Regular) - Growth Option,mid_1,0P0001PXWC.BO
Kotak Bluechip Fund - Direct Plan - Growth (Erstwhile Kotak50 Scheme),large_1,0P0000XV5I.BO
Kotak Debt Hybrid Fund - Direct Plan - Growth (Erstwhile Kotak MIP),hybrid_1,0P0000XZRU.BO
Kotak Emerging Equity Fund- Direct Plan - Growth,mid_1,0P0000XV5R.BO
Kotak Small Cap Fund - Direct Plan - Growth (Erstwhile Kotak Mid-Cap),small_1,0P0000XV6I.BO
Mahindra Manulife Mid Cap Fund - Direct - Growth,mid_1,0P0001CEW2.BO
Mahindra Manulife Multi Cap Fund - Regular - Growth,flexi_1,0P0001A98Q.BO
NIPPON INDIA FLEXI CAP FUND - GROWTH PLAN,flexi_1,0P0001MZPI.BO
SUNDARAM FINANCIAL SERVICES OPPORTUNITIES FUND - REGULAR GROWTH,flexi_1,0P0000GB2Y.BO
Union Balanced Advantage Fund Direct Plan - Growth,hybrid_1,0P0001CBYS.BO
Union Innovation and Opportunities Fund - Regular Growth,flexi_1,0P0001RDMY.BO
HSBC corporate bond,hybrid_1,0P0000XV8J.BO
ICICI balanced adv,hybrid_1,0P0000XWAK.BO
Mirae mfg ETF,flexi_1,MAKEINDIA.BO
Quant active,flexi_1,0P0000XW4E.BO
Quant infra,flexi_1,0P0000XW4O.BO
Quant small,small_1,0P0001RQ6R.BO
