name,id,code
Bandhan ELSS Tax saver FundGrowth,flexi_4,0P0000JXJE.BO
Canara Robeco Blue Chip Equity Fund,large_3,0P0000XW0O.BO
Canara Robeco Emerging Equities,mid_2,0P0000XW00.BO
Canara Robeco Flexi Cap Fund,flexi_4,0P0000XW02.BO
Canara Robeco Infrastructure,flexi_4,0P00005V7N.BO
Canara Robeco Small Cap Fund,small_1,0P0001FKEH.BO
Invesco India Small Cap Fund,small_1,0P0001EQU7.BO
NIPPON INDIA GROWTH FUND,mid_2,0P0000XVDP.BO
quant Absolute Fund  Direct Plan,hybrid_5,0P0000XW4A.BO
quant Flexi Cap Fund  Direct Plan,flexi_4,0P0000XW4X.BO
quant Focused Fund  Direct Plan,flexi_4,0P0000XWCV.BO
SUNDARAM CONSUMPTION FUND,flexi_4,0P00005UU6.BO
SUNDARAM ELSS TAX SAVER FUND,flexi_4,0P0000XVCZ.BO
SUNDARAM SERVICES FUND REGULAR,flexi_4,0P0001EEMS.BO
Union Multicap Fund  Regular Plan,flexi_4,0P0001Q407.BO
