id,name,code
a2,absl equity hybrid 95 fund regular growth,103155
a2,absl gennext fund regular growth,103111
b2,absl pure value fund regular growth,108167
a1,absl regular savings fund direct,101818
b1,canara robeco bluechip equity fund direct plan growth,118269
b2,canara robeco consumer trends reg-g,112152
b2,canara robeco flexi cap fund regular growth,101922
b1,canara robeco flexi direct ,118275
a1,hdfc balanced advantage fund regular idcw ,100120
a2,hdfc balanced advantage fund regular idcw ,100120
a2,hdfc balanced advantage fund regular idcw ,100120
b1,hdfc flexi cap fund -direct plan - growth,118955
a1,hdfc hybrid equity fund regular plan growth,102948
a2,hdfc hybrid equity fund regular plan growth,102948
a1,kotak balanced advantage fund direct growth,144335
b2,kotak bluechip,120152
a1,kotak debt hybrid direct,120154
b1,kotak emerging equity direct,119775
a1,kotak hybrid equity fund direct growth,133035
b1,mm mid cap unnati yojana - regular plan,142109
b2,nippon india small cap,113177
b1,pgim india flexicap,133839
b1,pgim india midcap,125307
b1,union flexicap,119292
