name,code,id
Aditya Birla Sun Life Equity Hybrid'95 Fund - Direct Plan-Growth,120517,hybrid_5
Aditya Birla Sun Life Consumption Fund - Growth - Direct Plan,119591,flexi_4
Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan,101818,hybrid_5
CANARA ROBECO CONSUMPTION FUND - REGULAR PLAN - GROWTH OPTION,112152,flexi_4
CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,118275,flexi_4
CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,118269,large_3
HDFC Balanced Advantage Fund - IDCW Plan,100120,hybrid_5
HDFC Hybrid Equity Fund - Growth Plan,102948,hybrid_5
HDFC Flexi Cap Fund - Growth Option - Direct Plan,118955,flexi_4
HDFC NIFTY200 Momentum 30 Index Fund - Direct Plan,152430,mid_2
Kotak Aggressive Hybrid Fund - Direct Plan -Growth,133035,hybrid_5
Kotak Balanced Advantage Fund  - Direct Plan -Growth Option,144335,hybrid_5
Kotak Debt Hybrid - Growth - Direct,120154,hybrid_5
Kotak Midcap Fund - Direct Plan - Growth,119775,mid_2
Mahindra Manulife Mid Cap Fund - Regular Plan - Growth,142109,mid_2
Mahindra Manulife Multi Asset Allocation Fund- Direct Plan - Growth,152443,hedge_6
Nippon India Small Cap Fund - Growth Plan - Growth Option,113177,small_1
PGIM India Flexi Cap Fund - Direct Plan - Growth Option,133839,flexi_4
PGIM India Midcap Fund - Direct Plan - Growth Option,125307,mid_2
Union Flexi Cap Fund - Direct Plan - Growth Option,119292,flexi_4
